id,name,generic,vendor,fda_code
45,FENTANYL,FENTANYL,Mylan Pharmaceuticals Inc.,0378-9119
46,Guinea Pig Epithelium,Guinea Pig Epithelium,"Nelco Laboratories, Inc.",36987-1061
47,Gabapentin,Gabapentin,"AvKARE, Inc.",42291-300
48,CULTIVATED OATS POLLEN,avena sativa pollen,"Allergy Laboratories, Inc.",54575-096
49,Extralasting,OCTINOXATE,"Avon Products, Inc.",10096-0230
50,Donepezil Hydrochloride,Donepezil Hydrochloride,Sun Pharmaceutical Industries Limited,62756-440
51,Algenist,"Avobenzone, Homosalate, Octisalate","Solazyme, Inc.",53407-155
52,Ciclopirox,Ciclopirox,Sandoz,0781-7106
53,Ibuprofen,Ibuprofen,REMEDYREPACK INC.,52125-674
54,Cefprozil,Cefprozil,Aurobindo Pharma Limited,65862-069
55,Glipizide,Glipizide,Bryant Ranch Prepack,63629-1398
56,Sensitive,Sodium Fluoride,"Church & Dwight Co., Inc.",10237-659
57,Carvedilol,Carvedilol,State of Florida DOH Central Pharmacy,53808-0221
58,Oxygen,Oxygen,Advanced Oxy-Med Services Inc,64889-0001
59,Balsam Poplar,Balsam Poplar,"Nelco Laboratories, Inc.",36987-3122
60,Kit for the Preparation of Technetium Tc 99m Mebrofenin,Kit for the Preparation of Technetium Tc 99m Mebrofenin,"Pharmalucence, Inc.",45567-0455
61,IOPE RETIGEN MOISTURE FOUNDATION,"OCTINOXATE, TITANIUM DIOXIDE, and ZINC OXIDE",AMOREPACIFIC,43419-307
62,FREDS ORIGINAL EYE DROPS,TETRAHYDROZOLINE HYDROCHLORIDE,"HANLIM PHARM. CO., LTD.",11716-1187
63,Bethanechol Chloride,Bethanechol Chloride,"AvKARE, Inc.",42291-170
64,Scott Antibacterial Foam,Triclosan,Kimberly-Clark Corporation,55118-425
65,Benzonatate,Benzonatate,American Health Packaging,68084-214
66,Allopurinol,allopurinol,Clinical Solutions Wholesale,58118-2116
67,leader antacid,calcium carbonate,Cardinal Health,49781-120
68,Crest 3D White,Sodium Fluoride,Procter & Gamble Manufacturing Company,37000-831
69,Warfarin Sodium,Warfarin Sodium,Unit Dose Services,50436-9946
70,Diltiazem Hydrochloride,Diltiazem Hydrochloride,Sun Pharma Global FZE,47335-670
71,Nasal Decongestant,Pseudoephedrine HCl,"Shopko Stores Operating Co., LLC",37012-432
72,Sleep Aid,Doxylamine succinate,Kroger Company,30142-441
73,Furosemide,furosemide,"Physicians Total Care, Inc.",54868-2180
74,Velvet Grass,Velvet Grass,"Nelco Laboratories, Inc.",36987-2404
75,Green Pea,Green Pea,"Nelco Laboratories, Inc.",36987-1482
76,sunmark,Clotrimazole,McKesson,49348-379
77,Glimepiride,Glimepiride,Dr. Reddy's Laboratories Limited,55111-322
78,Glimepiride,Glimepiride,Dr. Reddy's Laboratories Limited,55111-321
79,Dextroamphetamine Sulfate,Dextroamphetamine Sulfate,Lineage Therapeutics,54505-329
80,Rabeprazole Sodium,Rabeprazole Sodium,"AvKARE, Inc.",42291-722
81,Prax Wipe,pramoxine hydrochloride 1%,"Ferndale Laboratories, Inc.",0496-0749
82,SKIN ERUPTIONS 7,BACILLUS ANTHRACIS IMMUNOSERUM RABBIT,Natural Health Supply,64117-205
83,Lopressor,metoprolol tartrate,Validus Pharmaceuticals LLC,30698-459
84,Sun Verbena Protective Gloss Protection,"OCTOCRYLENE, HOMOSALATE, AVOBENZONE",LABORATOIRES M&L,10345-022
85,ATORVASTATIN CALCIUM,ATORVASTATIN CALCIUM,Bryant Ranch Prepack,63629-4796
86,Treatment Set TS345050,Treatment Set TS345050,"Antigen Laboratories, Inc.",49288-0842
87,MECLIZINE HYDROCHLORIDE,MECLIZINE HYDROCHLORIDE,STAT Rx USA LLC,16590-146
88,Quetiapine fumarate,Quetiapine fumarate,"Preferred Pharmaceuticals, Inc.",68788-9487
89,Doxazosin mesylate,doxazosin mesylate,"Golden State Medical Supply, Inc.",60429-953
90,Yves Saint Laurent Teint Resist,Titanium Dioxide,Sicos Et Cie (Lancome),51150-409
91,Treatment Set TS331884,Treatment Set TS331884,"Antigen Laboratories, Inc.",49288-0664
92,Smart Sense Tioconazole 1,Tioconazole,Kmart Corporation,49738-426
93,Phenylephrine Hydrochloride,Phenylephrine Hydrochloride,"American Regent, Inc.",0517-0405
94,Hydromorphone Hydrochloride,Hydromorphone Hydrochloride,"Akorn, Inc.",17478-540
95,Infants Ibuprofen,Ibuprofen,Nash-Finch Company (Our Family),70253-250
96,Diazepam,diazepam,"Dispensing Solutions, Inc.",66336-478
97,Neutrogena Wet Skin Swim Humidity Sweat,"Avobenzone, Homosalate, Octisalate, Octocrylene, and Oxybenzone",Neutrogena Corporation,10812-611
98,Quetiapine Fumarate,Quetiapine Fumarate,McKesson Packaging Services a business unit of McKesson Corporation,63739-665
99,Double Antibiotic,Bacitracin Zinc and Polymyxin B Sulfate,Rebel Distributors Corp,21695-400
100,Bang Er Jie High-Efficiency Anti-Bacteria Monomer Silver Gel for Women,Anti-Bacteria Monomer Silver Gel,"Bang An Bao Medical Equipment Co., Ltd.",60659-0101
101,Treatment Set TS331413,Treatment Set TS331413,"Antigen Laboratories, Inc.",49288-0665
102,Levothyroxine Sodium,Levothyroxine Sodium,REMEDYREPACK INC.,49349-859
103,Soothe and Cool Free Moisture Barrier,Petrolatum,"Medline Industries, Inc.",53329-072
104,Depakote,divalproex sodium,"Physicians Total Care, Inc.",54868-5525
105,Burkhart,Sodium Fluoride,Burkhart Dental Supply Inc,43498-101
106,O HUI WHITE EXTREME CELLIGHT,PROTOCATECHUALDEHYDE,"LG Household and Healthcare, Inc.",53208-507
107,Hydrocodone Bitartate and Acetaminophen,"HYDROCODONE BITARTRATE, ACETAMINOPHEN",A-S Medication Solutions LLC,54569-6362
108,Bethanechol Chloride,Bethanechol Chloride 50 mg,Wockhardt USA LLC.,64679-968
109,Amoxicillin and Calvulanate Potassium,Amoxicillin and Clavulanate Potassium,American Health Packaging,68084-236
110,Neutrogena MoistureShine SPF20,"Octinoxate, Octisalate, and Titanium Dioxide",Neutrogena Corporation,10812-333
111,Topiramate,Topiramate,Teva Pharmaceuticals USA Inc,0093-7220
112,Testosterone,"Testosterone,","Deseret Biologicals, Inc.",43742-0021
113,CALAN,verapamil hydrochloride,G.D. Searle LLC Division of Pfizer Inc,0025-1851
114,laura mercier Tinted Moisturizer Creme Compact Broad Spectrum SPF 20 Sunscreen MOCHA,"AVOBENZONE, OCTISALATE, OCTOCRYLENE",Gurwitch Products,65342-1006
115,Hand Sanitizer with Aloe,Alcohol,Shop Rite,41190-203
116,Morphine Sulfate,Morphine Sulfate,West-ward Pharmaceutical Corp.,0641-6072
117,Exchange Select Sunscreen,AVOBENZONE,ARMY AND AIR FORCE EXCHANGE SERVICE,55301-008
118,Verapamil Hydrochloride,verapamil hydrochloride,"Aphena Pharma Solutions - Tennessee, LLC",43353-600
119,Dark Skin Defense Concealer Broad Spectrum SPF 15,"Octinoxate, Octisalate, Oxybenzone",Jafra Cosmetics International Inc,68828-172
120,NATURAL SUN AQ BODY AND FAMILY MILD SUN MILK,"OCTINOXATE, OCTISALATE, TITANIUM DIOXIDE, AVOBENZONE, ENZACAMENE","THEFACESHOP CO., LTD",51523-101
121,TRAMADOL HYDROCHLORIDE,TRAMADOL HYDROCHLORIDE,Sun Pharma Global FZE,47335-531
122,Moexipril Hydrochloride,Moexipril Hydrochloride,Apotex Corp.,60505-0271
123,leader stomach relief,Bismuth subsalicylate,Cardinal Health,37205-951
124,Carisoprodol,Carisoprodol,"Preferred Pharmaceuticals, Inc.",68788-2582
125,Lyrica,PREGABALIN,"Aphena Pharma Solutions - Tennessee, LLC",43353-840
126,NARS ALL DAY LUMINOUS FOUNDATION,Octinoxate and Titanium Dioxide,NARS COSMETICS,13734-139
127,Quetiapine fumarate,quetiapine fumarate,"Lupin Pharmaceuticals, Inc.",68180-450
128,Topicort,Desoximetasone,"Taro Pharmaceuticals U.S.A., Inc.",51672-5205
129,CELEBREX,Celecoxib,Keltman Pharmaceuticals Inc.,68387-552
130,Pecgen DMX,"guaifenesin,Dextromethorphan hydrobromide",KRAMER NOVIS,52083-620
131,Metoprolol Tartrate,Metoprolol Tartrate,Teva Pharmaceuticals USA Inc,0093-0733
132,Diethylpropion HydrochlorideER,Diethylpropion Hydrochloride,Aidarex Pharmaceuticals LLC,33261-354
133,Hydrogen Peroxide,HYDROGEN PEROXIDE,Vi-Jon,0869-0871
134,Instant Hand Sanitizer,Alcohol,Water-Jel Technologies,59898-420
135,Sterile Water,Water,A-S Medication Solutions LLC,54569-2222
136,Salagen,pilocarpine hyrochloride,Eisai Inc.,62856-775
137,Banana Boat Ultra defense SPF 50 Canada,Homosalate and Octinoxate and Octisalate and Oxybenzone and Avobenzone and Octocrylene,"Accra-Pac, Inc.",17630-2043
138,Depo-Medrol,methylprednisolone acetate,Rebel Distributors Corp,21695-952
139,Cyclobenzaprine Hydrochloride,Cyclobenzaprine Hydrochloride,Aidarex Pharmaceuticals LLC,33261-033
140,Olanzapine,Olanzapine,Apotex Corp.,60505-3140
141,Carvedilol,Carvedilol,Cardinal Health,55154-1682
142,Rough Marsh Elder,Rough Marsh Elder,"Nelco Laboratories, Inc.",36987-3253
143,Carvedilol,Carvedilol,Cardinal Health,55154-3678
144,Privet,Privet,"Nelco Laboratories, Inc.",36987-3028
145,Garnier Skin Renew Miracle Skin Perfector AntiAging BB Broad Spectrum SPF 15 Sunscreen,Octinoxate and Titanium Dioxide,L'Oreal USA Products Inc,49967-134
146,Topical Anesthetic,Benzocaine,Patterson Dental Supply Inc,50227-2112
147,Dextroamphetamine Sulfate,Dextroamphetamine Sulfate,Lineage Therapeutics,54505-329
148,Liquid Detox Drops,"Citrus Limonum, Taraxacum Officinale, Uva Ursi, Berberis Vulgaris, Capsicum Annuum, Galium Aparine, Lobelia Inflata",Weight Loss Products LLC,49721-0001
149,Sure,Invisible Solid Fresh Essence,"Innovative Brands, LLC",41595-5529
150,Medrox,"METHYL SALICYLATE, MENTHOL, CAPSAICIN",Pharmaceutica North America,45861-001
151,Prednisone,Prednisone,"Preferred Pharmaceuticals, Inc.",68788-9513
152,Myferon 150 Forte,"IRON SUCROSE, FOLIC ACID, CYANOCOBALAMIN","MARTIN EKWEALOR PHARMACEUTICALS, INC.",58607-112
153,Bald Cypress,Bald Cypress,"Nelco Laboratories, Inc.",36987-2625
154,Oxygen,Oxygen,Mercy Medical Center- Clinton dba Mercy Home Medical Equipment,65868-001
155,SUNZEN,"Avobenzone, Homosalate, Octisalate, Octocrylene and Oxybenzone","Prime Packaging, Inc.",13630-0049
156,Concerta,Methylphenidate hydrochloride,"Physicians Total Care, Inc.",54868-4759
157,Oxytocin,Oxytocin,West-Ward Pharmaceutical Corp.,0641-6115
158,Hepatatox,"Triticum Aestivum, Chelidonium Majus, Taraxacum Officinale, Glutathione, Hepar Suis, Thyroidinum, Lycopodium Clavatum","BioActive Nutritional, Inc.",43857-0013
159,Banana Boat Sport Performance,"Avobenzone, Homosalate, Octisalate, Octocrylene, Oxybenzone",KIK Custom Products,61047-815
160,Olay Total Effects Pore Minimizing CC,"Homosalate, Octisalate, and Octocrylene",Procter & Gamble Manufacturing Company,37000-320
161,Argentum Nitricum 6x,Argentum Nitricum 6x,"True Botanica, LLC",53645-1640
162,GONGJINHYANG SEOL WHITENING JINAEK PROGRAM,DIACETYL BENZOYL LATHYROL,"LG Household and Healthcare, Inc.",53208-377
163,Methimazole,Methimazole,"Dispensing Solutions, Inc.",66336-623
164,Childrens Acetaminophen,Acetaminophen,Rij Pharmaceutical Corporation,53807-520
165,Undecylenic Acid Liquid,Anti-Fungal Liquid,Premier Brands of America Inc.,56104-114
166,Nardil,Phenelzine Sulfate,Parke-Davis Div of Pfizer Inc,0071-0350
167,Sanafitil Talco,UNDECYLENIC ACID and ZINC UNDECYLENATE,"ZURICH MEDICAL LABS, LLC",61357-152
168,Piperacillin and Tazobactam,Piperacillin Sodium and Tazobactam Sodium,AuroMedics Pharma LLC,55150-121
169,Equaline Ibuprofen,Ibuprofen,Supervalu Inc,41163-660
170,Budesonide,budesonide,Carilion Materials Management,68151-4374
171,CONTRAVE,naltrexone hydrochloride and bupropion hydrochloride,"Takeda Pharmaceuticals America, Inc.",64764-890
172,lisinopril,lisinopril,RedPharm Drug Inc.,67296-0630
173,Iodine Tincture Mild,Iodine and Sodium Iodide and Alcohol,"Humco Holding Group, Inc",0395-1213
174,Methylphenidate Hydrochloride,methylphenidate hydrochloride,"Physicians Total Care, Inc.",54868-3454
175,Prednisolone Acetate,Prednisolone Acetate,Falcon Pharmaceuticals,61314-637
176,Diazepam,diazepam,Mylan Institutional Inc.,51079-285
177,Retin-A MICRO,Tretinoin,"Physicians Total Care, Inc.",54868-5604
178,Nectadyn,"DROSERA ROTUNDIFOLIA and IPECAC and RUMEX CRISPUS ROOT and ANTIMONY POTASSIUM TARTRATE and CUPRIC SULFATE and SPONGIA OFFICINALIS SKELETON, ROASTED",Heel Inc,50114-8510
179,Tempra,Acetaminophen,"Bristol-Myers Squibb de Mexico, S. de R.L. de C.V.",64613-5800
180,CETIRIZINE HYDROCHLORIDE,CETIRIZINE HYDROCHLORIDE,"MedVantx, Inc.",66116-417
181,Prascion RA Cream,Sodium sulfacetamide and sulfur,Prasco Laboratories,66993-925
182,My Pain Away,"Aesculus hippocastanum, Arnica montana, Belladonna, Crotalus horridus, Echinacea, Graphites, Heloderma, Lachesis mutus, Naja tripudians, Rhus toxicodendron, Ruta graveolens","Topical BioMedics, Inc.",61500-5587
183,Womens Laxative,Bisacodyl,Safeway,21130-326
184,Norvasc,amlodipine besylate,Cardinal Health,55154-2710
185,lisinopril,lisinopril,"NCS HealthCare of KY, Inc dba Vangard Labs",0615-7777
186,Unblem Est,Benzoyl Peroxide,Elli Est,42265-101
187,ITCHY SKIN RUNNY NOSE,FAGOPYRUM ESCULENTUM,Natural Health Supply,64117-228
188,Diovan HCT,valsartan and hydrochlorothiazide,Cardinal Health,55154-9667
189,Loratadine and Pseudoephedrine,loratadine and pseudoephedrine,"Physicians Total Care, Inc.",54868-5656
190,Venlafaxine Hydrochloride,Venlafaxine Hydrochloride,REMEDYREPACK INC.,49349-184
191,SHISEIDO FUTURE SOLUTION LX TOTAL RADIANCE FOUNDATION,OCTINOXATE and TITANIUM DIOXIDE,SHISEIDO AMERICAS CORPORATION,58411-232
192,Diazepam,diazepam,Mylan Pharmaceuticals Inc.,0378-0477
193,TOPIRAMATE,topiramate,Torrent Pharmaceuticals Limited,13668-031
194,NEUTRAMAXX 5000 PLUS TURBO,SODIUM FLUORIDE,Massco Dental A Division of Dunagin Pharmaceuticals,63783-500
195,Isopropyl Alcohol,Isopropyl Alcohol,Chain Drug Consotium,68016-804
196,Pear,Pear,"Nelco Laboratories, Inc.",36987-1354
197,Mesna,mesna,Mylan Institutional LLC,67457-148
198,FUSARIUM OXYSPORUM VASINFECTUM,FUSARIUM VASINFECTUM,"ALK-Abello, Inc.",0268-0898
199,Lidocaine Hydrochloride,Lidocaine,Aidarex Pharmaceuticals LLC,53217-064
200,Lamotrigine,Lamotrigine,Rebel Distributors Corp,21695-228
201,Laxative Pills Maximum Strength,Sennosides,"WOONSOCKET PRESCRIPTION CENTER,INCORPORATED",59779-348
202,Cacao Bean,Cacao Bean,"Nelco Laboratories, Inc.",36987-1633
203,Carvedilol,Carvedilol,Major Pharmaceuticals,0904-6301
204,Quality Choice Effervescent Cold Relief Plus,"Aspirin, Chlorpheniramine maleate, and Phenylephrine bitartrate",Chain Drug Marketing Association,63868-228
205,metronidazole,metronidazole,"Taro Pharmaceuticals U.S.A., Inc.",51672-5295
206,Alprazolam,Alprazolam,"PD-Rx Pharmaceuticals, Inc.",43063-367
207,Estring,estradiol,Pharmacia and Upjohn Company,0013-2150
208,Tusnel,"Dextromethorphan HBr, Guaifenesin, Pseudoephedrine HCl",LLORENS PHARMACEUTICALS INTERNATIONAL DIVISION,54859-801
209,Hydrocodone Bitartrate and Acetaminophen,Hydrocodone Bitartrate and Acetaminophen,"Actavis Pharma, Inc.",0591-2607
210,Cactus Cinis Avenae,Cactus Cinis Avenae,Uriel Pharmacy Inc.,48951-3001
211,Haloperidol,Haloperidol,Clinical Solutions Wholesale,58118-1392
212,VITALUMIERE AQUA,OCTINOXATE and TITANIUM DIOXIDE,CHANEL PARFUMS BEAUTE,68745-1018
213,Skin So Soft Bug Guard Plus IR3535,"Octocrylene, Octinoxate, Oxybenzone, Octisalate","Avon Products, Inc",10096-0121
214,Naproxen,Naproxen,Camber Pharmaceuticals,31722-341
215,MADA Hand Sanitizing Wipes,Alcohol,"Mada Medical Products, Inc.",11928-003
216,Childrens Pain and Fever,Acetaminophen,Meijer Distribution Inc,41250-631
217,Levetiracetam,levetiracetam,Mylan Pharmaceuticals Inc.,0378-5619
218,Pumpkin Seeds Antibacterial Foaming Hand Wash,Triclosan,"SJ Creations, Inc.",43269-881
219,Disney FAIRIES Sweet Berry Scented Antiseptic Hand Cleansing,ALCOHOL,"Bolero Home Decor, Inc.",57469-052
220,Esika,ALUMINUM SESQUICHLOROHYDRATE,"Ventura Corporation, Ltd.",13537-156
221,Telmisartan and Amlodipine,Telmisartan and Amlodipine,Torrent Pharmaceuticals Limited,13668-344
222,Alphanate,Antihemophilic Factor/von Willebrand Factor Complex (Human),"GRIFOLS USA, LLC",68516-4603
223,Oxygen,Oxygen,Richmond Respiratory & Medical Supply,60561-0001
224,JASMINE 3D WATERFUL CC,Zinc oxide,"AMI Cosmetic Co.,Ltd.",59535-3011
225,Cold and Flu Relief,"Aconitum napellus, Arsenicum album, Baptisia tinctoria, Bryonia, Causticum, Cinchona officinalis, Echinacea purpurea, Eucalyptus globulus, Eupatorium perfoliatum, Gelsemium sempervirens, Influenzinum, Phytolacca decandra, Rhus toxicodendron, Sarcolacticum acidum, Sulphur, Wyethia helenioides, Zincum aceticum, Zincum muriaticum, Zincum oxydatum",PharmWest Inc.,50441-0005
226,Indomethacin,Indomethacin,Sandoz Inc,0781-2350
227,Lorazepam,Lorazepam,Sandoz Inc,0781-5408
228,Prednisone,Prednisone,Hikma Pharmaceutical,59115-140
229,Sentry Antibac,Triclosan,"Deb USA, Inc.",11084-534
230,Levitra,vardenafil hydrochloride,"APHENA PHARMA SOLUTIONS - TENNESSEE, INC.",43353-748
231,Galantamine hydrobromide,Galantamine hydrobromide,"Watson Laboratories, Inc.",0591-3498
232,Adidas,ALUMINUM ZIRCONIUM TETRACHLOROHYDREX GLY,Coty US LLC,66184-125
233,Lymph Drainage,"Citrus limonum, Echinacea, Scrophularia nodosa, Teucrium Scorodonia, Baptisia tinctoria, Lobelia inflata, Phytolacca decandra, Pinus sylvestris, Zincum gluconicum, Thuja occidentalis, Capsicum annuum,",Apothecfa Company,57520-0912
234,Carbon Dioxide,Carbon Dioxide,Linde Gas North America LLC,25373-104
235,Russian Thistle,Russian Thistle,"Nelco Laboratories, Inc.",36987-3399
236,Prometh with Dextromethorphan,"Promethazine Hydrochloride, Dextromethorphan Hydrobromide",Actavis Mid Atlantic LLC,0472-1630
237,Cetirizine Hydrochloride,Cetirizine Hydrochloride,"Physicians Total Care, Inc.",54868-5845
238,Diaper Rash Balm,Skin Protectant,"Skinfix, Inc.",61328-001
239,Ranitidine,Ranitidine Hydrochloride,"Silarx Pharmaceuticals, Inc",54838-550
240,Lyrica,PREGABALIN,A-S Medication Solutions LLC,54569-8704
241,Cetirizine Hydrochloride,Cetirizine Hydrochloride,Sandoz Inc,0781-1684
242,Nutricel Additive System - AS-3,CP2D/AS-3 Anticoagulant and Additive System,Medsep Corporation,62646-AS3
243,Penicillin V Potassium,Penicillin V Potassium,Teva Pharmaceuticals USA Inc,0093-1174
244,Privine,Naphazoline Hydrochloride,Insight Pharmaceuticals LLC,63736-663
245,Levofloxacin,Levofloxacin,Sagent Pharmaceuticals,25021-132
246,Levetiracetam,Levetiracetam,Rebel Distributors Corp,21695-136
247,Nervousness - Anxiety,"Aconitum nap., Ambra, Anacardium orientale, Arg.nit., Asafoetida, Bryonia, Chamomilla, Cimicifuga, Coffea cruda, Cypripedium, Gelsemium, Hyoscyamus, Hypericum, Ignatia, Kali phos., Nux vom., Sambucus nig., Strychninum, Theridion, Valeriana, Passiflora","Newton Laboratories, Inc.",55714-4461
248,Back and Body,"Aspirin, Caffeine","GREENBRIER INTERNATIONAL, INC.",33992-0413
249,TERUFLEX Blood Bag System with Blood Sampling Arm Anticoagulant Citrate Phosphate Dextrose (CPD) AND OPTISOL (AS-5) Red Cell Preservative,Anticoagulant Citrate Phosphate Dextrose (CPD) AND AS-5 Red Cell Preservative,Terumo Corporation,53877-009
250,Diltiazem Hydrochloride,diltiazem hydrochloride,Mylan Institutional Inc.,51079-924
251,Tussin CF,"DEXTROMETHORPHAN HYDROBROMIDE, GUAIFENESIN, PHENYLEPHRINE HYDROCHLORIDE",Major Pharmaceuticals,0904-5770
252,Iodine Bush,Iodine Bush,"Nelco Laboratories, Inc.",36987-3226
253,Gabapentin,Gabapentin,American Health Packaging,68084-123
254,Vagi-Clear,"Sepia, Kreosotum, Kali phos , Pulsatilla, Nitricum ac",Feelgood Health,68647-201
255,Omeprazole,Omeprazole,St Marys Medical Park Pharmacy,60760-522
256,Health Mart anti nausea,"Dextrose (glucose), Levulose (fructose), Phosphoric Acid",McKesson,62011-0152
257,Hamamelis Aesculus,Hamamelis Aesculus,Uriel Pharmacy Inc.,48951-5031
258,Infants Gas Relief,Dimethicone,CVS,59779-701
259,Citalopram,Citalopram,Lake Erie Medical DBA Quality Care Products LLC,35356-868
260,Clonidine Hydrochloride,Clonidine Hydrochloride,Cardinal Health,55154-0685
261,Atropine Sulfate,Atropine Sulfate,"General Injectables & Vaccines, Inc.",52584-910
262,Breast Cyst and Discomforts,"Aconitum napellus, Bellis perennis, Bromium, Bryonia, Chamomilla, Conium maculatum, Iodium, Phellandrium aquaticum, Phytolacca decandra, Scrophularia nodosa, Silicea",King Bio Inc.,57955-0003
263,Fresh Sugar Honey Tinted Lip Treatment SPF15,octinoxate and oxybenzone,Guerlain,49817-1987
264,Armour Thyroid,"THYROID, PORCINE",A-S Medication Solutions LLC,54569-0919
265,Evista,Raloxifene hydrochloride,Lake Erie Medical & Surgical Supply DBA Quality Care Products LLC,49999-458
266,RUE 21 Free Spirit Fresh Flowers Anti Bacterial Hand Sanitizer,ALCOHOL,ENCHANTE ACCESSORIES INC.,50563-164
267,Oxygen,Oxygen,THH Acquisition LLC I dba Total Home Health,62789-0001
268,Ibuprofen,Ibuprofen,A-S Medication Solutions LLC,54569-0289
269,Aquafresh,sodium monofluorophosphate,GlaxoSmithKline Consumer Healthcare LP,0135-0130
270,Estradiol,Estradiol,"Watson Laboratories, Inc.",0591-0528
271,LOreal Paris true match super blendable makeup broad spectrum spf 17,Titanium Dioxide,L'Oreal USA Products Inc,49967-863
272,Olay Professional,Sulfur,Procter & Gamble Manufacturing Company,37000-303
